"NAME","EXTERNAL ID","DATA CENTER","ERROR"
"ARDRVCS01","ARDRVCS01","","Duplicate external id specified: ardrvcs01"
"ARdrvcs01","ARdrvcs01","","Duplicate external id specified: ardrvcs01"
"ARHGAPP01","ARHGAPP01","","Duplicate external id specified: arhgapp01"
"ARHGAPP01","ARHGAPP01","","Duplicate external id specified: arhgapp01"
"BTL08090203","BTL08090203","","Duplicate external id specified: btl08090203"
"BTL08090203","BTL08090203","WCP Data Center","Duplicate external id specified: btl08090203"
"BTL08090203","BTL08090203","","Duplicate external id specified: btl08090203"
"BTL09032605","BTL09032605","WCP Data Center","Duplicate external id specified: btl09032605"
"btl09032605","btl09032605","","Duplicate external id specified: btl09032605"
"btl11060102","btl11060102","","Duplicate external id specified: btl11060102"
"btl11060102","btl11060102","","Duplicate external id specified: btl11060102"
"CGWAPP104DV","CGWAPP104DV","WCP Data Center","Duplicate external id specified: cgwapp104dv"
"CGWAPP104DV","CGWAPP104DV","WCP Data Center","Duplicate external id specified: cgwapp104dv"
"CGWAPP1208PS","CGWAPP1208PS","WCP Data Center","Duplicate external id specified: cgwapp1208ps"
"CGWAPP1208PS","CGWAPP1208PS","WCP Data Center","Duplicate external id specified: cgwapp1208ps"
"CGWAPP369TS","CGWAPP369TS","WCP Data Center","Duplicate external id specified: cgwapp369ts"
"cgwapp369ts","cgwapp369ts","WCP Data Center","Duplicate external id specified: cgwapp369ts"
"CGWAPP397PD","CGWAPP397PD","WCP Data Center","Duplicate external id specified: cgwapp397pd"
"CGWAPP397PD","CGWAPP397PD","WCP Data Center","Duplicate external id specified: cgwapp397pd"
"CGWAPP610PD","CGWAPP610PD","WCP Data Center","Duplicate external id specified: cgwapp610pd"
"CGWAPP610PD","CGWAPP610PD","","Duplicate external id specified: cgwapp610pd"
"CGWAPP969PD","CGWAPP969PD","","Duplicate external id specified: cgwapp969pd"
"CGWAPP969PD","CGWAPP969PD","","Duplicate external id specified: cgwapp969pd"
"CGWBTL013PD","CGWBTL013PD","WCP Data Center","Duplicate external id specified: cgwbtl013pd"
"CGWBTL013PD","CGWBTL013PD","","Duplicate external id specified: cgwbtl013pd"
"cgwbtl510pd","cgwbtl510pd","","Duplicate external id specified: cgwbtl510pd"
"CGWBTL510PD","CGWBTL510PD","WCP Data Center","Duplicate external id specified: cgwbtl510pd"
"CGWLEB323PD","CGWLEB323PD","WCP data centre","Duplicate external id specified: cgwleb323pd"
"CGWLEB323PD","CGWLEB323PD","","Duplicate external id specified: cgwleb323pd"
"CGWSQL160PD","CGWSQL160PD","","Duplicate external id specified: cgwsql160pd"
"CGWSQL160PD","CGWSQL160PD","WCP Data Center","Duplicate external id specified: cgwsql160pd"
"cgwsql240np","cgwsql240np","","Duplicate external id specified: cgwsql240np"
"CGWSQL240NP","CGWSQL240NP","WCP Data Center","Duplicate external id specified: cgwsql240np"
"CGWSQL339PD","CGWSQL339PD","WCP Data Center","Duplicate external id specified: cgwsql339pd"
"CGWSQL339PD","CGWSQL339PD","WCP Data Center","Duplicate external id specified: cgwsql339pd"
"CGYDRUM01","CGYDRUM01","COLo datacentre","Duplicate external id specified: cgydrum01"
"cgydrum01","cgydrum01","","Duplicate external id specified: cgydrum01"
"cgywcpch01","cgywcpch01","","Duplicate external id specified: cgywcpch01"
"CGYWCPCH01","CGYWCPCH01","WCP Data Center","Duplicate external id specified: cgywcpch01"
"cls023","cls023","","Duplicate external id specified: cls023"
"cls023","cls023","WCP Data Center","Duplicate external id specified: cls023"
"CLS030","CLS030","Rogers CoLo Data Center","Duplicate external id specified: cls030"
"CLS030","CLS030","Rogers CoLo Data Center","Duplicate external id specified: cls030"
"CLS090","CLS090","WCP Data Center","Duplicate external id specified: cls090"
"CLS090","CLS090","WCP Data Center","Duplicate external id specified: cls090"
"CLS090","CLS090","","Duplicate external id specified: cls090"
"CLS243","CLS243","WCP Data Center","Duplicate external id specified: cls243"
"CLS243","CLS243","WCP Data Center","Duplicate external id specified: cls243"
"CLS243","CLS243","","Duplicate external id specified: cls243"
"CLS244","CLS244","WCP Data Center","Duplicate external id specified: cls244"
"CLS244","CLS244","WCP Data Center","Duplicate external id specified: cls244"
"CLS245","CLS245","WCP Data Center","Duplicate external id specified: cls245"
"CLS245","CLS245","WCP Data Center","Duplicate external id specified: cls245"
"CLS250","CLS250","WCP Data Center","Duplicate external id specified: cls250"
"CLS250","CLS250","WCP Data Center","Duplicate external id specified: cls250"
"CLS264","CLS264","","Duplicate external id specified: cls264"
"CLS264","CLS264","WCP Data Center","Duplicate external id specified: cls264"
"CLS3005","CLS3005","WCP Data Center","Duplicate external id specified: cls3005"
"CLS3005","CLS3005","WCP Data Center","Duplicate external id specified: cls3005"
"CLS3014","CLS3014","WCP Data Center","Duplicate external id specified: cls3014"
"CLS3014","CLS3014","WCP Data Center","Duplicate external id specified: cls3014"
"cls3015","cls3015","WCP Data Center","Duplicate external id specified: cls3015"
"CLS3015","CLS3015","WCP Data Center","Duplicate external id specified: cls3015"
"CLS3016","CLS3016","WCP Data Center","Duplicate external id specified: cls3016"
"CLS3016","CLS3016","WCP Data Center","Duplicate external id specified: cls3016"
"cls3017","cls3017","","Duplicate external id specified: cls3017"
"CLS3017","CLS3017","WCP Data Center","Duplicate external id specified: cls3017"
"cls3022","cls3022","","Duplicate external id specified: cls3022"
"cls3022","cls3022","","Duplicate external id specified: cls3022"
"cls3040","cls3040","","Duplicate external id specified: cls3040"
"cls3040","cls3040","","Duplicate external id specified: cls3040"
"CLS3045","CLS3045","WCP Data Center","Duplicate external id specified: cls3045"
"CLS3045","CLS3045","WCP Data Center","Duplicate external id specified: cls3045"
"CLS306","CLS306","WCP Data Center","Duplicate external id specified: cls306"
"CLS306","CLS306","WCP Data Center","Duplicate external id specified: cls306"
"CLS320","CLS320","WCP Data Center","Duplicate external id specified: cls320"
"CLS320","CLS320","WCP Data Center","Duplicate external id specified: cls320"
"cls331","cls331","","Duplicate external id specified: cls331"
"cls331","cls331","","Duplicate external id specified: cls331"
"CLS335","CLS335","Rogers CoLo Data Center","Duplicate external id specified: cls335"
"CLS335","CLS335","Rogers CoLo Data Center","Duplicate external id specified: cls335"
"COS005","COS005","","Duplicate external id specified: cos005"
"COS005","COS005","","Duplicate external id specified: cos005"
"CTXWIT1","CTXWIT1","","Duplicate external id specified: ctxwit1"
"CTXWIT1","CTXWIT1","","Duplicate external id specified: ctxwit1"
"CTXWIT2","CTXWIT2","","Duplicate external id specified: ctxwit2"
"CTXWIT2","CTXWIT2","","Duplicate external id specified: ctxwit2"
"cvapl039","cvapl039","WCP Data Center","Duplicate external id specified: cvapl039"
"cvapl039","cvapl039","","Duplicate external id specified: cvapl039"
"cwf093","cwf093","","Duplicate external id specified: cwf093"
"cwf093","cwf093","","Duplicate external id specified: cwf093"
"CWF1058","CWF1058","","Duplicate external id specified: cwf1058"
"CWF1058","CWF1058","","Duplicate external id specified: cwf1058"
"CWF211","CWF211","WCP Data Center","Duplicate external id specified: cwf211"
"CWF211","CWF211","","Duplicate external id specified: cwf211"
"CWF229","CWF229","","Duplicate external id specified: cwf229"
"CWF229","CWF229","","Duplicate external id specified: cwf229"
"CWF245","CWF245","WCP Data Center","Duplicate external id specified: cwf245"
"cwf245","cwf245","","Duplicate external id specified: cwf245"
"cwf252","cwf252","WCP Data Center","Duplicate external id specified: cwf252"
"CWF252","CWF252","WCP data centre","Duplicate external id specified: cwf252"
"CWF3000","CWF3000","","Duplicate external id specified: cwf3000"
"CWF3000","CWF3000","Rogers CoLo Data Center","Duplicate external id specified: cwf3000"
"CWF3120","CWF3120","Rogers Airdrie - New Data Center","Duplicate external id specified: cwf3120"
"CWF3120","CWF3120","","Duplicate external id specified: cwf3120"
"CWF397","CWF397","WCP Data Center","Duplicate external id specified: cwf397"
"CWF397","CWF397","","Duplicate external id specified: cwf397"
"CWF415","CWF415","","Duplicate external id specified: cwf415"
"CWF415","CWF415","","Duplicate external id specified: cwf415"
"CWF744","CWF744","","Duplicate external id specified: cwf744"
"CWF744","CWF744","","Duplicate external id specified: cwf744"
"CWF828","CWF828","","Duplicate external id specified: cwf828"
"CWF828","CWF828","","Duplicate external id specified: cwf828"
"hostname: Unknown host
","hostname: Unknown host
","","Duplicate external id specified: hostname: unknown host"
"hostname: Unknown host","hostname: Unknown host","","Duplicate external id specified: hostname: unknown host"
"hostname: Unknown host","hostname: Unknown host","","Duplicate external id specified: hostname: unknown host"
"hostname: Unknown host","hostname: Unknown host","","Duplicate external id specified: hostname: unknown host"
"HUSKYDEV1","HUSKYDEV1","","Duplicate external id specified: huskydev1"
"HUSKYDEV1","HUSKYDEV1","","Duplicate external id specified: huskydev1"
"HUSKYDEV3","HUSKYDEV3","","Duplicate external id specified: huskydev3"
"huskydev3","huskydev3","","Duplicate external id specified: huskydev3"
"LIMREFCH01","LIMREFCH01","","Duplicate external id specified: limrefch01"
"limrefch01","limrefch01","","Duplicate external id specified: limrefch01"
"limrefmbx01","limrefmbx01","","Duplicate external id specified: limrefmbx01"
"LIMREFMBX01","LIMREFMBX01","","Duplicate external id specified: limrefmbx01"
"LIROPS1","LIROPS1","","Duplicate external id specified: lirops1"
"LIROPS1","LIROPS1","","Duplicate external id specified: lirops1"
"LIRPI1","LIRPI1","","Duplicate external id specified: lirpi1"
"LIRPI1","LIRPI1","","Duplicate external id specified: lirpi1"
"LIRSCOM1","LIRSCOM1","","Duplicate external id specified: lirscom1"
"LIRSCOM1","LIRSCOM1","","Duplicate external id specified: lirscom1"
"LIRSQL2","LIRSQL2","","Duplicate external id specified: lirsql2"
"LIRSQL2","LIRSQL2","","Duplicate external id specified: lirsql2"
"LIRVBLS1","LIRVBLS1","","Duplicate external id specified: lirvbls1"
"LIRVBLS1","LIRVBLS1","","Duplicate external id specified: lirvbls1"
"LIRWSUS1","LIRWSUS1","","Duplicate external id specified: lirwsus1"
"LIRWSUS1","LIRWSUS1","","Duplicate external id specified: lirwsus1"
"lnf001new.hq","lnf001new.hq","","Duplicate external id specified: lnf001new.hq"
"lnf001new.hq","lnf001new.hq","","Duplicate external id specified: lnf001new.hq"
"LSBASHLU","LSBASHLU","","Duplicate external id specified: lsbashlu"
"LSBASHLU","LSBASHLU","","Duplicate external id specified: lsbashlu"
"LSBASHPL","LSBASHPL","","Duplicate external id specified: lsbashpl"
"LSBASHPL","LSBASHPL","","Duplicate external id specified: lsbashpl"
"MAC12020268","MAC12020268","","Duplicate external id specified: mac12020268"
"MAC12020268","MAC12020268","","Duplicate external id specified: mac12020268"
"ROBS-MACBOOK-AIR.LOCAL","ROBS-MACBOOK-AIR.LOCAL","","Duplicate external id specified: robs-macbook-air.local"
"ROBS-MACBOOK-AIR.LOCAL","ROBS-MACBOOK-AIR.LOCAL","","Duplicate external id specified: robs-macbook-air.local"
"RRHDC002","RRHDC002","","Duplicate external id specified: rrhdc002"
"RRHDC002","RRHDC002","WCP Data Center","Duplicate external id specified: rrhdc002"
"STX007","STX007","","Duplicate external id specified: stx007"
"STX007","STX007","","Duplicate external id specified: stx007"
"SWF032","SWF032","","Duplicate external id specified: swf032"
"swf032","swf032","","Duplicate external id specified: swf032"
"SXCH10","SXCH10","","Duplicate external id specified: sxch10"
"sxch10","sxch10","","Duplicate external id specified: sxch10"
"SXCH11","SXCH11","","Duplicate external id specified: sxch11"
"sxch11","sxch11","","Duplicate external id specified: sxch11"
"sxhub03","sxhub03","","Duplicate external id specified: sxhub03"
"sxhub03","sxhub03","","Duplicate external id specified: sxhub03"
"sxmbx03","sxmbx03","","Duplicate external id specified: sxmbx03"
"sxmbx03","sxmbx03","","Duplicate external id specified: sxmbx03"
"TLHSQL003PD","TLHSQL003PD","WCP Data Center","Duplicate external id specified: tlhsql003pd"
"TLHSQL003PD","TLHSQL003PD","WCP Data Center","Duplicate external id specified: tlhsql003pd"
"vsad3ci1","vsad3ci1","WCP Data Center","Duplicate external id specified: vsad3ci1"
"VSAD3CI1","VSAD3CI1","WCP Data Center","Duplicate external id specified: vsad3ci1"
